audi,gas,four,176.60,66.20,13950
audi,gas,four,176.60,66.40,17450
audi,gas,four,192.70,71.40,17710
audi,gas,four,192.70,71.40,23875
bmw,gas,two,176.80,64.80,16430
bmw,gas,four,176.80,64.80,16925
bmw,gas,two,176.80,64.80,20970
bmw,gas,four,176.80,64.80,21105
chevrolet,gas,two,141.10,60.30,5151
chevrolet,gas,two,155.90,63.60,6295
chevrolet,gas,four,158.80,63.60,6575
dodge,gas,two,157.30,63.80,5572
dodge,gas,two,157.30,63.80,6377
dodge,gas,two,157.30,63.80,7957
dodge,gas,four,157.30,63.80,6229
dodge,gas,four,157.30,63.80,6692
dodge,gas,four,157.30,63.80,7609
dodge,gas,four,174.60,64.60,8921
dodge,gas,two,173.20,66.30,12964
honda,gas,two,144.60,63.90,6479
honda,gas,two,144.60,63.90,6855
honda,gas,two,150.00,64.00,5399
honda,gas,two,150.00,64.00,6529
honda,gas,two,150.00,64.00,7129
honda,gas,four,163.40,64.00,7295
honda,gas,four,157.10,63.90,7295
honda,gas,two,167.50,65.20,7895
honda,gas,two,167.50,65.20,9095
honda,gas,four,175.40,65.20,8845
honda,gas,four,175.40,62.50,10295
honda,gas,four,175.40,65.20,12945
honda,gas,two,169.10,66.00,10345
jaguar,gas,four,199.60,69.60,32250
mazda,gas,two,159.10,64.20,5195
mazda,gas,two,159.10,64.20,6095
mazda,gas,two,159.10,64.20,6795
mazda,gas,four,166.80,64.20,6695
mazda,gas,four,166.80,64.20,7395
mazda,gas,two,177.80,66.50,8845
mazda,gas,four,177.80,66.50,8495
mazda,gas,two,177.80,66.50,10595
mazda,gas,four,177.80,66.50,10245
mazda,gas,four,177.80,66.50,11245
mazda,gas,four,175.00,66.10,18280
mercedes-benz,diesel,four,190.90,70.30,25552
mercedes-benz,diesel,four,190.90,70.30,28248
mercedes-benz,diesel,two,187.50,70.30,28176
mercedes-benz,diesel,four,202.60,71.70,31600
mercedes-benz,gas,two,180.30,70.50,35056
mitsubishi,gas,two,157.30,64.40,5389
mitsubishi,gas,two,157.30,64.40,6189
mitsubishi,gas,two,157.30,64.40,6669
mitsubishi,gas,two,157.30,63.80,7689
mitsubishi,gas,two,173.00,65.40,9959
mitsubishi,gas,two,173.00,65.40,8499
mitsubishi,gas,four,172.40,65.40,6989
mitsubishi,gas,four,172.40,65.40,8189
mitsubishi,gas,four,172.40,65.40,9279
mitsubishi,gas,four,172.40,65.40,9279
nissan,gas,two,165.30,63.80,5499
